event_id,choice_id,label,description,required_story_flag_id,granted_story_flag_id,effect_kind,effect_value
event_miner_spirit_first,choice_miner_spirit_help,替它松开契索,保留它的自由并记住它指向的矿路,,experience_miner_spirit_helped,heal,10
event_miner_spirit_first,choice_miner_spirit_bind,以残剑胚收束它,让它替你探路但背负新的契,,experience_miner_spirit_bound,artifact_refine,1
event_miner_spirit_first,choice_miner_spirit_kill,击杀炼化,夺取精魄换取即时开锋,,experience_miner_spirit_refined,learn_technique,blood_sword
event_miner_spirit_first,choice_miner_spirit_ignore,转身深入,不替它承担因果,,experience_miner_spirit_ignored,none,
event_old_contract_trace,choice_contract_read,拓下契文,记住祖辈留在矿中的债,,discovery_old_mine_contract,discovery,discovery_old_mine_contract
event_old_contract_trace,choice_contract_burn,烧去表层契纸,恢复气血但失去一条直接线索,,,heal,12
event_miner_spirit_return,choice_spirit_listen,听它说完,从残缺记忆中取得回锋剑阵,experience_miner_spirit_helped,experience_miner_spirit_returned,learn_technique,returning_array
event_miner_spirit_return,choice_spirit_command,命它引路,强迫受缚矿灵打开隐路,experience_miner_spirit_bound,experience_miner_spirit_returned,reveal_hidden,hidden_contract_cache
event_miner_spirit_return,choice_spirit_take_ash,炼尽余烬,从残余精魄中稳固煞契,experience_miner_spirit_refined,experience_miner_spirit_returned,artifact_refine,1
event_miner_spirit_return,choice_spirit_pass,仍不回应,保留距离继续深入,experience_miner_spirit_ignored,experience_miner_spirit_returned,heal,6
event_thunder_vein,choice_thunder_understand,引雷入脉,承受雷光以记住其运行,,experience_thunder_vein_touched,learn_technique,thunder_sword
event_old_contract_truth,choice_truth_accept,记下真相,承认旁支取剑之路来自旧契,,experience_old_contract_truth,discovery,discovery_old_mine_contract
event_sword_furnace_contract,choice_contract_break,断去旧契,让剑炉与矿灵都脱离祖契,experience_old_contract_truth,experience_old_contract_broken,boss_modifier,contract_spike_weakened
event_sword_furnace_contract,choice_contract_claim,炼契入剑,把契文并入残剑胚换取开锋,experience_old_contract_truth,experience_old_contract_claimed,artifact_refine,1
