line_id,node_type,delta_percent
line_servant_thunder_delivery,elite_battle,12
line_servant_thunder_delivery,normal_battle,6
line_servant_thunder_delivery,shop,-6
line_servant_herb_audit,event,12
line_servant_herb_audit,training,6
line_servant_herb_audit,elite_battle,-6
line_servant_account_escort,shop,12
line_servant_account_escort,event,6
line_servant_account_escort,treasure,-6
line_smith_furnace_caravan,shop,12
line_smith_furnace_caravan,normal_battle,6
line_smith_furnace_caravan,training,-6
line_smith_lost_sword,normal_battle,12
line_smith_lost_sword,treasure,6
line_smith_lost_sword,shop,-6
line_smith_tower_trial,elite_battle,12
line_smith_tower_trial,treasure,6
line_smith_tower_trial,training,-6
line_caravan_trade_road,shop,12
line_caravan_trade_road,event,6
line_caravan_trade_road,elite_battle,-6
line_caravan_debt_tower,elite_battle,12
line_caravan_debt_tower,shop,6
line_caravan_debt_tower,training,-6
line_caravan_lost_goods,event,12
line_caravan_lost_goods,training,6
line_caravan_lost_goods,treasure,-6
line_branch_old_vault,cave,12
line_branch_old_vault,treasure,6
line_branch_old_vault,normal_battle,-6
line_branch_baishan_post,event,12
line_branch_baishan_post,shop,6
line_branch_baishan_post,elite_battle,-6
line_branch_burned_ancestral_hall,event,12
line_branch_burned_ancestral_hall,cave,6
line_branch_burned_ancestral_hall,shop,-6
line_exile_night_marsh,normal_battle,12
line_exile_night_marsh,elite_battle,6
line_exile_night_marsh,shop,-6
line_exile_case_cellar,treasure,12
line_exile_case_cellar,event,6
line_exile_case_cellar,training,-6
line_exile_fake_name,shop,12
line_exile_fake_name,event,6
line_exile_fake_name,elite_battle,-6
line_swordtomb_rust_blade,normal_battle,12
line_swordtomb_rust_blade,treasure,6
line_swordtomb_rust_blade,shop,-6
line_swordtomb_thunder_bone,elite_battle,12
line_swordtomb_thunder_bone,normal_battle,6
line_swordtomb_thunder_bone,training,-6
line_swordtomb_blood_forest,event,12
line_swordtomb_blood_forest,normal_battle,6
line_swordtomb_blood_forest,shop,-6
