line_id,tag_id,delta_percent,priority
line_servant_thunder_delivery,shock,25,main
line_servant_thunder_delivery,thunder_strike,25,main
line_servant_thunder_delivery,crit,12,secondary
line_servant_herb_audit,flying_sword,20,main
line_servant_herb_audit,sword_intent,20,main
line_servant_herb_audit,recovery,12,secondary
line_servant_account_escort,defense,18,main
line_servant_account_escort,resource,15,secondary
line_smith_furnace_caravan,flying_sword,22,main
line_smith_furnace_caravan,upgrade,22,main
line_smith_furnace_caravan,resource,12,secondary
line_smith_lost_sword,follow_up,25,main
line_smith_lost_sword,flying_sword,25,main
line_smith_lost_sword,artifact,12,secondary
line_smith_tower_trial,thunder_strike,25,main
line_smith_tower_trial,crit,25,main
line_smith_tower_trial,high_variance,12,secondary
line_caravan_trade_road,resource,25,main
line_caravan_trade_road,trade_event,12,secondary
line_caravan_debt_tower,resource,20,main
line_caravan_debt_tower,high_quality_reward,12,secondary
line_caravan_lost_goods,strange_encounter,25,main
line_caravan_lost_goods,recovery,12,secondary
line_branch_old_vault,artifact,25,main
line_branch_old_vault,gongfa,12,secondary
line_branch_baishan_post,defense,18,main
line_branch_baishan_post,gongfa,12,secondary
line_branch_burned_ancestral_hall,gongfa,25,main
line_branch_burned_ancestral_hall,status_transition,12,secondary
line_exile_night_marsh,bleed,25,main
line_exile_night_marsh,risk_reward,12,secondary
line_exile_case_cellar,high_variance_reward,25,main
line_exile_case_cellar,artifact,12,secondary
line_exile_fake_name,resource,18,main
line_exile_fake_name,defense,12,secondary
line_swordtomb_rust_blade,flying_sword,25,main
line_swordtomb_rust_blade,follow_up,25,main
line_swordtomb_rust_blade,attack,12,secondary
line_swordtomb_thunder_bone,shock,25,main
line_swordtomb_thunder_bone,crit,25,main
line_swordtomb_thunder_bone,high_pressure_trial,12,secondary
line_swordtomb_blood_forest,bleed,25,main
line_swordtomb_blood_forest,risk_reward,25,main
line_swordtomb_blood_forest,survival_to_damage,12,secondary
