template_id,from_slot_id,to_slot_id
map_old_mine_three_act,a1_d0,a1_d1_l
map_old_mine_three_act,a1_d0,a1_d1_r
map_old_mine_three_act,a1_d1_l,a1_d2
map_old_mine_three_act,a1_d1_r,a1_d2
map_old_mine_three_act,a1_d2,a1_d3_l
map_old_mine_three_act,a1_d2,a1_d3_r
map_old_mine_three_act,a1_d3_l,a1_d4
map_old_mine_three_act,a1_d3_r,a1_d4
map_old_mine_three_act,a1_d4,a1_d5_l
map_old_mine_three_act,a1_d4,a1_d5_r
map_old_mine_three_act,a1_d5_l,a1_d6
map_old_mine_three_act,a1_d5_r,a1_d6
map_old_mine_three_act,a1_d6,a1_d7
map_old_mine_three_act,a1_d7,a2_d0
map_old_mine_three_act,a2_d0,a2_d1_l
map_old_mine_three_act,a2_d0,a2_d1_r
map_old_mine_three_act,a2_d1_l,a2_d2
map_old_mine_three_act,a2_d1_r,a2_d2
map_old_mine_three_act,a2_d2,a2_d3_l
map_old_mine_three_act,a2_d2,a2_d3_r
map_old_mine_three_act,a2_d3_l,a2_d4
map_old_mine_three_act,a2_d3_r,a2_d4
map_old_mine_three_act,a2_d4,a2_d5_l
map_old_mine_three_act,a2_d4,a2_d5_r
map_old_mine_three_act,a2_d5_l,a2_d6
map_old_mine_three_act,a2_d5_r,a2_d6
map_old_mine_three_act,a2_d6,a2_d7
map_old_mine_three_act,a2_d7,a3_d0
map_old_mine_three_act,a3_d0,a3_d1
map_old_mine_three_act,a3_d1,a3_d2_l
map_old_mine_three_act,a3_d1,a3_d2_r
map_old_mine_three_act,a3_d2_l,a3_d3
map_old_mine_three_act,a3_d2_r,a3_d3
map_old_mine_three_act,a3_d3,a3_d4_l
map_old_mine_three_act,a3_d3,a3_d4_r
map_old_mine_three_act,a3_d4_l,a3_d5
map_old_mine_three_act,a3_d4_r,a3_d5
map_old_mine_three_act,a3_d5,a3_d6
map_old_mine_three_act,a3_d5,a3_hidden_contract
map_old_mine_three_act,a3_d6,a3_d7
map_old_mine_three_act,a3_hidden_contract,a3_d7
