template_id,slot_id,act_index,depth_index,lane_index,allowed_node_types,required_content_id,required_story_flag_id,is_hidden
map_old_mine_three_act,a1_d0,1,0,0,Start,story_old_mine_entry,,false
map_old_mine_three_act,a1_d1_l,1,1,-1,Battle|Event,,,false
map_old_mine_three_act,a1_d1_r,1,1,1,Battle|Cultivation,,,false
map_old_mine_three_act,a1_d2,1,2,0,Story,event_miner_spirit_first,,false
map_old_mine_three_act,a1_d3_l,1,3,-1,Battle|Cultivation,,,false
map_old_mine_three_act,a1_d3_r,1,3,1,Event|Secret,,,false
map_old_mine_three_act,a1_d4,1,4,0,Battle|Elite,,,false
map_old_mine_three_act,a1_d5_l,1,5,-1,Cultivation|Refinement,,,false
map_old_mine_three_act,a1_d5_r,1,5,1,Event|Secret,event_old_contract_trace,,false
map_old_mine_three_act,a1_d6,1,6,0,Refinement|Cultivation,,,false
map_old_mine_three_act,a1_d7,1,7,0,MiniBoss,encounter_act1_miniboss,,false
map_old_mine_three_act,a2_d0,2,0,0,Story,story_collapsed_well_entry,,false
map_old_mine_three_act,a2_d1_l,2,1,-1,Battle|Elite,,,false
map_old_mine_three_act,a2_d1_r,2,1,1,Battle|Event,,,false
map_old_mine_three_act,a2_d2,2,2,0,Story,event_miner_spirit_return,,false
map_old_mine_three_act,a2_d3_l,2,3,-1,Battle|Cultivation,,,false
map_old_mine_three_act,a2_d3_r,2,3,1,Secret|Event,event_thunder_vein,,false
map_old_mine_three_act,a2_d4,2,4,0,Battle|Elite,,,false
map_old_mine_three_act,a2_d5_l,2,5,-1,Cultivation|Refinement,,,false
map_old_mine_three_act,a2_d5_r,2,5,1,Secret|Battle,,,false
map_old_mine_three_act,a2_d6,2,6,0,Story,event_old_contract_truth,,false
map_old_mine_three_act,a2_d7,2,7,0,MiniBoss,encounter_act2_miniboss,,false
map_old_mine_three_act,a3_d0,3,0,0,Breakthrough,breakthrough_qi_to_foundation,,false
map_old_mine_three_act,a3_d1,3,1,0,Battle,encounter_act3_furnace,,false
map_old_mine_three_act,a3_d2_l,3,2,-1,Cultivation|Refinement,,,false
map_old_mine_three_act,a3_d2_r,3,2,1,Event|Secret,,,false
map_old_mine_three_act,a3_d3,3,3,0,Battle|Elite,,,false
map_old_mine_three_act,a3_d4_l,3,4,-1,Secret|Refinement,,,false
map_old_mine_three_act,a3_d4_r,3,4,1,Event|Cultivation,,,false
map_old_mine_three_act,a3_d5,3,5,0,Battle|Elite,,,false
map_old_mine_three_act,a3_d6,3,6,0,Story,event_sword_furnace_contract,experience_old_contract_truth,false
map_old_mine_three_act,a3_hidden_contract,3,6,1,Secret,hidden_contract_cache,experience_miner_spirit_bound,true
map_old_mine_three_act,a3_d7,3,7,0,Boss,encounter_act3_boss,,false
