region_id,node_type,weight
region_trade_road,normal_battle,24
region_trade_road,elite_battle,8
region_trade_road,event,22
region_trade_road,shop,18
region_trade_road,training,12
region_trade_road,cave,8
region_trade_road,treasure,8
region_old_mine,normal_battle,30
region_old_mine,elite_battle,14
region_old_mine,event,12
region_old_mine,shop,6
region_old_mine,training,8
region_old_mine,cave,10
region_old_mine,treasure,20
region_demon_tower,normal_battle,24
region_demon_tower,elite_battle,24
region_demon_tower,event,10
region_demon_tower,shop,6
region_demon_tower,training,8
region_demon_tower,cave,8
region_demon_tower,treasure,20
region_herb_forest,normal_battle,20
region_herb_forest,elite_battle,8
region_herb_forest,event,30
region_herb_forest,shop,8
region_herb_forest,training,16
region_herb_forest,cave,10
region_herb_forest,treasure,8
region_thunder_marsh,normal_battle,28
region_thunder_marsh,elite_battle,18
region_thunder_marsh,event,12
region_thunder_marsh,shop,6
region_thunder_marsh,training,8
region_thunder_marsh,cave,10
region_thunder_marsh,treasure,18
region_ancestral_vault,normal_battle,18
region_ancestral_vault,elite_battle,10
region_ancestral_vault,event,18
region_ancestral_vault,shop,8
region_ancestral_vault,training,8
region_ancestral_vault,cave,18
region_ancestral_vault,treasure,20
