service,style,priority_group,seq,ref_type,ref_id,notes
card_reward_focus,wanjian,focus,1,card,sword_focus,
card_reward_focus,wanjian,focus,2,card,summon_sword,
card_reward_focus,wanjian,focus,3,card,returning_array,
card_reward_focus,wanjian,focus,4,card,sheathe_edge,
card_reward_focus,wanjian,focus,5,card,sword_rain,
card_reward_focus,wanjian,focus,6,card,sword_array,
card_reward_focus,wanjian,focus,7,card,sword_tide,
card_reward_focus,wanjian,focus,8,card,heaven_opening,
card_reward_focus,wanjian,focus,9,card,wanjian_burst,
card_reward_focus,thunder,focus,1,card,thunder_sword,
card_reward_focus,thunder,focus,2,card,thunder_chain,
card_reward_focus,thunder,focus,3,card,thunder_lead,
card_reward_focus,thunder,focus,4,card,thunder_casket,
card_reward_focus,thunder,focus,5,card,storm_sword_array,
card_reward_focus,thunder,focus,6,card,thunder_prison,
card_reward_focus,thunder,focus,7,card,heaven_thunder,
card_reward_focus,blood,focus,1,card,blood_mark,
card_reward_focus,blood,focus,2,card,blood_edge_awakening,
card_reward_focus,blood,focus,3,card,scarlet_feast,
card_reward_focus,blood,focus,4,card,blood_guard,
card_reward_focus,blood,focus,5,card,blood_sword,
card_reward_focus,blood,focus,6,card,blood_tide_array,
card_reward_focus,blood,focus,7,card,blood_execution,
card_reward_focus,general,focus,1,card,sword_slash,
card_reward_focus,general,focus,2,card,guard_step,
card_reward_focus,general,focus,3,card,cloud_step,
card_reward_focus,general,focus,4,card,spirit_draw,
card_reward_focus,general,focus,5,card,meridian_breath,
card_reward_focus,general,focus,6,card,jade_barrier,
card_reward_wildcard,wanjian,wildcard,1,card,sword_array,
card_reward_wildcard,wanjian,wildcard,2,card,sword_rain,
card_reward_wildcard,wanjian,wildcard,3,card,returning_array,
card_reward_wildcard,wanjian,wildcard,4,card,sheathe_edge,
card_reward_wildcard,wanjian,wildcard,5,card,sword_tide,
card_reward_wildcard,wanjian,wildcard,6,card,heaven_opening,
card_reward_wildcard,wanjian,wildcard,7,card,wanjian_burst,
card_reward_wildcard,thunder,wildcard,1,card,thunder_chain,
card_reward_wildcard,thunder,wildcard,2,card,thunder_lead,
card_reward_wildcard,thunder,wildcard,3,card,thunder_casket,
card_reward_wildcard,thunder,wildcard,4,card,storm_sword_array,
card_reward_wildcard,thunder,wildcard,5,card,thunder_prison,
card_reward_wildcard,thunder,wildcard,6,card,heaven_thunder,
card_reward_wildcard,blood,wildcard,1,card,blood_sword,
card_reward_wildcard,blood,wildcard,2,card,blood_edge_awakening,
card_reward_wildcard,blood,wildcard,3,card,scarlet_feast,
card_reward_wildcard,blood,wildcard,4,card,blood_guard,
card_reward_wildcard,blood,wildcard,5,card,blood_tide_array,
card_reward_wildcard,blood,wildcard,6,card,blood_execution,
card_reward_wildcard,general,wildcard,1,card,jade_barrier,
card_reward_wildcard,general,wildcard,2,card,sword_array,
card_reward_wildcard,general,wildcard,3,card,thunder_prison,
card_reward_wildcard,general,wildcard,4,card,blood_execution,
artifact_priority,wanjian,artifact,1,artifact,SwordBox,
artifact_priority,wanjian,artifact,2,artifact,HaotianMirror,
artifact_priority,wanjian,artifact,3,artifact,PurpleGourd,
artifact_priority,wanjian,artifact,4,artifact,ThunderSeal,
artifact_priority,thunder,artifact,1,artifact,ThunderSeal,
artifact_priority,thunder,artifact,2,artifact,HaotianMirror,
artifact_priority,thunder,artifact,3,artifact,PurpleGourd,
artifact_priority,thunder,artifact,4,artifact,SwordBox,
artifact_priority,blood,artifact,1,artifact,PurpleGourd,
artifact_priority,blood,artifact,2,artifact,HaotianMirror,
artifact_priority,blood,artifact,3,artifact,SwordBox,
artifact_priority,blood,artifact,4,artifact,ThunderSeal,
artifact_fallback_relics,wanjian,relic,1,relic,剑冢残碑,
artifact_fallback_relics,wanjian,relic,2,relic,万剑剑匣,
artifact_fallback_relics,wanjian,relic,3,relic,聚灵符,
artifact_fallback_relics,wanjian,relic,4,relic,残破古镜,
artifact_fallback_relics,wanjian,relic,5,relic,护心镜,
artifact_fallback_relics,thunder,relic,1,relic,雷心,
artifact_fallback_relics,thunder,relic,2,relic,九霄雷印,
artifact_fallback_relics,thunder,relic,3,relic,残破古镜,
artifact_fallback_relics,thunder,relic,4,relic,聚灵符,
artifact_fallback_relics,thunder,relic,5,relic,护心镜,
artifact_fallback_relics,blood,relic,1,relic,血剑胚,
artifact_fallback_relics,blood,relic,2,relic,血魔珠,
artifact_fallback_relics,blood,relic,3,relic,护心镜,
artifact_fallback_relics,blood,relic,4,relic,聚灵符
