route_plan_id,seq,layer,node_type,node_name,node_id,encounter_id,reward_profile_id,action_profile_id
route_branch_stable,1,1,battle,矿口余烬,node_l1_stable_battle,enemy_mine_ember,reward_layer1_standard,
route_branch_stable,2,1,training,矿灯下调息,node_l1_stable_training,,,action_training_stable_l1
route_branch_stable,3,2,route_choice,第二层岔路,node_l1_stable_choice_l2,,,choose_route_layer_2
route_branch_risky,1,1,battle,塌井守卫,node_l1_risky_elite_1,enemy_collapsed_well_guard,reward_layer1_elite,
route_branch_risky,2,1,battle,井底邪影,node_l1_risky_elite_2,enemy_well_bottom_shadow,reward_layer1_elite,
route_branch_risky,3,2,route_choice,第二层岔路,node_l1_risky_choice_l2,,,choose_route_layer_2
route_branch_build,1,1,training,暗室悟法,node_l1_build_training,,,action_training_focus_l1
route_branch_build,2,1,battle,符债残影,node_l1_build_battle,enemy_talisman_debt_wraith,reward_layer1_build,
route_branch_build,3,2,route_choice,第二层岔路,node_l1_build_choice_l2,,,choose_route_layer_2
route_middle_stable,1,2,battle,劫云守卫,node_l2_stable_battle,enemy_calamity_guard,reward_layer2_standard,
route_middle_stable,2,2,training,劫云下悟法,node_l2_stable_fill,,,action_directed_fill_l2
route_middle_stable,3,3,route_choice,第三层路口,node_l2_stable_choice_l3,,,choose_route_layer_3
route_middle_aggressive,1,2,battle,裂空剑煞,node_l2_aggressive_elite_1,enemy_rift_sword_fiend,reward_layer2_elite,
route_middle_aggressive,2,2,battle,雷崖执兵,node_l2_aggressive_elite_2,enemy_thunder_cliff_guard,reward_layer2_elite,
route_middle_aggressive,3,3,route_choice,第三层路口,node_l2_aggressive_choice_l3,,,choose_route_layer_3
route_middle_artifact,1,2,shop,核心整备,node_l2_artifact_prepare,,,action_core_prepare_l2
route_middle_artifact,2,2,battle,镜雷试炼,node_l2_artifact_elite,enemy_mirror_thunder_trial,reward_layer2_core,
route_middle_artifact,3,3,route_choice,第三层路口,node_l2_artifact_choice_l3,,,choose_route_layer_3
route_final_stable,1,3,battle,劫云守关,node_l3_stable_battle,enemy_calamity_guard,reward_layer3_standard,
route_final_stable,2,3,shop,天劫前整备,node_l3_stable_prepare,,,action_prepare_boss
route_final_stable,3,3,boss,天劫化身,node_l3_stable_boss,enemy_tianjie_avatar,reward_boss_completion,
route_final_seclusion,1,3,training,终结悟道,node_l3_seclusion_finisher,,,action_finisher_fill_l3
route_final_seclusion,2,3,battle,悟道试锋,node_l3_seclusion_battle,enemy_calamity_guard,reward_layer3_standard,
route_final_seclusion,3,3,boss,天劫化身,node_l3_seclusion_boss,enemy_tianjie_avatar,reward_boss_completion,
route_final_desperate,1,3,battle,劫前守门,node_l3_desperate_elite,enemy_calamity_gatekeeper,reward_layer3_high,
route_final_desperate,2,3,boss,天劫化身,node_l3_desperate_boss,enemy_tianjie_avatar,reward_boss_completion,
